datetime,Temp(C),lat,long
2016-01-01 01:00:00,24.8,13.754,100.5014
2016-01-01 04:00:00,23.8,13.754,100.5014
2016-01-01 07:00:00,22.9,13.754,100.5014
2016-01-01 10:00:00,26.4,13.754,100.5014
2016-01-01 13:00:00,30.3,13.754,100.5014
2016-01-01 16:00:00,31.8,13.754,100.5014
2016-01-01 19:00:00,28.1,13.754,100.5014
2016-01-01 22:00:00,26.5,13.754,100.5014
2016-01-02 01:00:00,24.8,13.754,100.5014
2016-01-02 04:00:00,23.9,13.754,100.5014
2016-01-02 07:00:00,23.0,13.754,100.5014
2016-01-02 10:00:00,27.3,13.754,100.5014
2016-01-02 13:00:00,30.7,13.754,100.5014
2016-01-02 16:00:00,31.7,13.754,100.5014
2016-01-02 19:00:00,27.1,13.754,100.5014
2016-01-02 22:00:00,26.7,13.754,100.5014
2016-01-03 01:00:00,25.0,13.754,100.5014
2016-01-03 04:00:00,23.7,13.754,100.5014
2016-01-03 07:00:00,23.5,13.754,100.5014
2016-01-03 10:00:00,27.9,13.754,100.5014
2016-01-03 13:00:00,31.0,13.754,100.5014
2016-01-03 16:00:00,31.9,13.754,100.5014
2016-01-03 19:00:00,28.1,13.754,100.5014
2016-01-03 22:00:00,27.0,13.754,100.5014
2016-01-04 01:00:00,25.6,13.754,100.5014
2016-01-04 04:00:00,24.8,13.754,100.5014
2016-01-04 07:00:00,24.7,13.754,100.5014
2016-01-04 10:00:00,29.8,13.754,100.5014
2016-01-04 13:00:00,32.1,13.754,100.5014
2016-01-04 16:00:00,32.8,13.754,100.5014
2016-01-04 19:00:00,28.7,13.754,100.5014
2016-01-04 22:00:00,27.7,13.754,100.5014
2016-01-05 01:00:00,26.9,13.754,100.5014
2016-01-05 04:00:00,25.3,13.754,100.5014
2016-01-05 07:00:00,24.8,13.754,100.5014
2016-01-05 10:00:00,29.5,13.754,100.5014
2016-01-05 13:00:00,32.1,13.754,100.5014
2016-01-05 16:00:00,32.8,13.754,100.5014
